location,square_footage,bedrooms,bathrooms,property_type,year_built,distance_to_tube_km,amenities,price
Bexley,1540.0,3,3,Flat,1878,1.6859190389994236,"concierge, garden, near_tube, park_view",2769208.0
Richmond upon Thames,823.0,1,3,Flat,1997,0.968995486891048,"cellar, ensuite, garage, near_tube, new_build, study",931944.0
Havering,1314.0,5,2,Flat,1993,1.8438638768382298,"concierge, ensuite, loft",2194025.0
Kingston upon Thames,791.0,1,1,Flat,1980,2.514505784169577,near_tube,557378.0
Kingston upon Thames,928.0,4,1,Terraced,1888,0.7535057498299053,"cellar, ensuite, garden, park_view, parking, river_view",1041262.0
Lambeth,454.0,2,2,Semi-Detached,1943,1.5897990902065566,"cellar, concierge, garage, lift, loft",120000.0
City of London,716.0,2,1,Maisonette,1969,2.593179577853284,"concierge, garage, new_build, study",681063.0
Brent,913.0,1,2,Flat,1925,3.060777306251172,concierge,859743.0
Bromley,1326.0,2,3,Flat,1881,0.6314259234597982,"balcony, cellar, ensuite, garage, lift, loft",2137370.0
Greenwich,917.0,4,3,Terraced,1994,2.0295255205427787,study,1080926.0
Ealing,1265.0,3,1,Flat,2013,0.11353655250243593,loft,1952901.0
Kensington and Chelsea,1042.0,1,1,Flat,1878,1.2164397094534611,garage,1646781.0
Hounslow,1338.0,2,1,Terraced,1972,0.29292017971295486,"balcony, concierge, ensuite, garden, near_tube, study",2130678.0
Havering,832.0,1,2,Semi-Detached,2004,0.7536473015912141,"balcony, cellar, gym, park_view, study",722808.0
Sutton,1567.0,3,1,Flat,1944,3.968271386409058,cellar,2695364.0
Hounslow,704.0,5,3,Semi-Detached,1858,1.8693340356397055,"gym, near_tube, park_view",185384.0
City of London,620.0,5,3,Terraced,1970,0.2999858059818572,"garage, gym, lift, near_tube",659233.0
Waltham Forest,487.0,5,1,Detached,2010,0.39988998074125226,"cellar, gym, lift, park_view",120000.0
Barnet,1549.0,1,2,Flat,1895,2.1681211832684864,"park_view, parking",2701404.0
Wandsworth,1096.0,3,2,Semi-Detached,1874,2.1201569419885855,balcony,1392350.0
Richmond upon Thames,750.0,1,1,Semi-Detached,1893,2.197258486954926,garage,441544.0
City of London,1225.0,3,3,Flat,1991,1.212216302142963,"ensuite, gym, loft, near_tube, new_build, park_view",2479058.0
Hackney,1056.0,3,3,Terraced,1946,1.8635185148458813,"cellar, garage, garden, near_tube",1484691.0
Brent,1440.0,4,1,Semi-Detached,1853,0.7824012034472116,"ensuite, loft, near_tube, new_build, river_view, study",2314579.0
Merton,386.0,2,2,Flat,1952,0.7549158498418278,"concierge, garage, loft, near_tube, new_build, parking",120000.0
Lambeth,770.0,1,2,Terraced,1991,1.1630762768208245,"ensuite, garden",460367.0
Brent,711.0,3,1,Flat,1882,0.5278305027358143,concierge,120000.0
Islington,258.0,3,1,Semi-Detached,1951,0.45602819341763773,"concierge, garage, loft, study",120000.0
Havering,1168.0,4,1,Flat,1889,1.519698953955436,"balcony, concierge",1649586.0
Brent,769.0,1,3,Terraced,1853,1.6155253407299848,"cellar, garage, garden, new_build, river_view",329245.0
Wandsworth,1072.0,4,2,Flat,1919,0.46602878303649836,"concierge, garage, gym, loft, near_tube, study",1591767.0
Lewisham,1558.0,3,3,Terraced,1984,0.6346312784259529,"concierge, garage, loft, new_build, park_view, river_view",3019602.0
Ealing,744.0,4,1,Semi-Detached,1966,1.3705889506923243,"garage, lift",510679.0
Havering,724.0,5,2,Terraced,1867,1.28925908596741,"concierge, park_view, river_view",125247.0
Waltham Forest,886.0,2,2,Terraced,1882,1.2132596809657008,"cellar, garden, gym, new_build, study",865720.0
Bexley,1146.0,4,2,Flat,1943,0.4865201029929874,"near_tube, park_view",1598947.0
Kensington and Chelsea,680.0,1,3,Flat,1905,4.320372040955509,"concierge, garage, garden, parking",660030.0
Newham,661.0,5,2,Semi-Detached,1907,0.7014707746064873,"balcony, cellar, new_build",140295.0
Haringey,1167.0,3,1,Flat,1925,1.4111636605256725,"cellar, concierge, ensuite, gym",1519780.0
Hillingdon,964.0,4,1,Semi-Detached,1982,0.3691740682446703,"garden, gym, lift, river_view",1107652.0
Hammersmith and Fulham,250.0,4,2,Semi-Detached,1950,0.9693584831916757,"concierge, garage, loft, near_tube, parking, study",120000.0
Wandsworth,482.0,4,1,Maisonette,1998,0.45630060427958363,"ensuite, gym, lift",120000.0
Kingston upon Thames,1300.0,2,1,Flat,1867,0.6785493138968587,"gym, parking",1853513.0
Newham,971.0,4,1,Terraced,1930,1.2298303616192092,ensuite,1047058.0
Bexley,621.0,3,1,Flat,1945,2.4269585643401075,"garage, garden, loft, new_build, river_view",120000.0
Merton,799.0,4,1,Maisonette,1981,0.6215736901981163,"balcony, garden, loft, near_tube, parking",776594.0
Newham,854.0,4,2,Semi-Detached,1939,1.1865800294474982,"ensuite, loft, river_view",726041.0
City of London,1071.0,3,2,Terraced,2009,1.39808505007629,"ensuite, gym, near_tube, new_build, river_view, study",1765980.0
Richmond upon Thames,443.0,1,1,Semi-Detached,1995,1.6672671987499559,"concierge, ensuite, loft",120000.0
Tower Hamlets,598.0,2,1,Flat,1969,0.16050688442289188,"ensuite, near_tube, parking",120000.0
Lewisham,932.0,5,2,Terraced,1919,1.8394084033197227,new_build,860163.0
Havering,820.0,3,1,Detached,1906,1.409512353220636,"concierge, gym, lift, park_view",493184.0
Harrow,1022.0,4,3,Flat,1942,1.2118781612161753,"garage, garden, park_view, parking",1278714.0
Islington,481.0,2,2,Studio,1930,0.5607334285129174,"concierge, loft, parking",120000.0
Newham,957.0,4,2,Maisonette,1855,1.292178244794804,"ensuite, lift, loft, river_view",840153.0
Lambeth,1177.0,3,1,Studio,1890,3.5781392455814442,"concierge, loft, river_view, study",1560399.0
Merton,996.0,2,1,Detached,1995,2.2479206568099395,"balcony, lift, new_build, park_view, river_view",1236256.0
Camden,892.0,1,1,Flat,1929,0.7506272886484434,new_build,903690.0
Merton,821.0,2,2,Terraced,2015,1.198875942874733,"lift, loft, new_build, parking",739481.0
Kingston upon Thames,600.0,3,1,Flat,1892,1.2262479320612092,"concierge, lift, loft",120000.0
Kingston upon Thames,828.0,2,3,Semi-Detached,2018,0.8407627334267743,"garage, garden, lift",770379.0
Harrow,1228.0,2,1,Flat,1990,0.3102191907370108,"cellar, new_build, park_view",1923826.0
Brent,814.0,2,2,Detached,1912,0.760853902483239,"cellar, concierge, garage, lift, new_build",475332.0
Hillingdon,583.0,2,2,Flat,1956,1.4840050454891014,"balcony, concierge, lift, near_tube, parking, study",120000.0
Tower Hamlets,702.0,4,2,Flat,2021,0.7473238241748713,"loft, river_view",533372.0
Kingston upon Thames,910.0,3,3,Flat,1960,0.9689445936775762,study,1002965.0
Ealing,738.0,3,2,Semi-Detached,2012,2.4466672119060497,"cellar, near_tube, park_view",380053.0
Brent,996.0,1,3,Flat,1869,0.9735835452617384,"ensuite, garden",1015367.0
Bromley,1007.0,3,1,Flat,1878,1.0214780714005527,gym,1071754.0
Ealing,1117.0,5,3,Flat,1850,1.1216903710341841,"concierge, loft, new_build",1404166.0
Greenwich,1277.0,4,2,Flat,1906,0.6939120945427354,"gym, lift, parking, study",2108840.0
Islington,1149.0,3,2,Maisonette,1987,1.879753367497474,"cellar, garden, gym, lift, near_tube, parking",2033586.0
Southwark,570.0,2,2,Terraced,2017,0.3702661296949144,"balcony, ensuite, garage, loft, parking",120000.0
Hammersmith and Fulham,579.0,2,3,Flat,1944,0.6910467624120247,"garden, new_build, study",245372.0
Bexley,827.0,1,1,Flat,1923,1.2034760643164162,"cellar, lift, near_tube, new_build",494345.0
Havering,715.0,1,2,Flat,2012,0.7842116033699191,"cellar, study",231315.0
Harrow,509.0,4,1,Flat,1952,2.8757663329700804,river_view,120000.0
Brent,717.0,5,2,Flat,1943,1.029000527996738,"cellar, garden, river_view, study",411953.0
Redbridge,708.0,5,1,Flat,1864,1.0079254905453745,"ensuite, garage, lift",143636.0
Ealing,648.0,4,2,Flat,1887,0.4649193140645347,"balcony, cellar",171097.0
Hackney,755.0,5,1,Flat,1971,0.7969586952699764,"cellar, ensuite, garden, loft, near_tube, river_view",623923.0
Kingston upon Thames,1204.0,3,1,Semi-Detached,1971,1.8237667992290847,"balcony, ensuite, new_build, parking",2028129.0
Ealing,910.0,2,2,Flat,1936,0.5847919537211812,"garage, gym, loft, park_view",931452.0
Haringey,1592.0,2,1,Semi-Detached,1971,0.2065312720516425,"concierge, ensuite, gym, parking, river_view",3054453.0
Ealing,901.0,2,2,Terraced,1970,0.9053542040964904,"cellar, loft",786554.0
Ealing,763.0,4,1,Maisonette,1861,1.0653116363645265,"gym, near_tube, parking, study",437854.0
Hackney,851.0,1,3,Flat,1995,0.7287022774893227,"concierge, ensuite, garden, lift, new_build, river_view",859716.0
Ealing,927.0,5,3,Semi-Detached,1970,2.471228656326883,"garage, garden, lift, near_tube",1082315.0
Merton,981.0,4,2,Detached,1888,3.961759695284267,"concierge, garage, garden, gym, park_view, river_view",1121465.0
Wandsworth,1473.0,2,1,Studio,1886,1.1977128876479965,balcony,2480144.0
Enfield,596.0,4,1,Detached,2016,0.790603662965416,"ensuite, garage, new_build, park_view, river_view",120000.0
Greenwich,1108.0,1,3,Flat,1894,1.4845601175931005,"concierge, garden, gym, loft",1418289.0
Westminster,912.0,3,3,Maisonette,1855,2.4826346058125623,"garage, garden, gym, lift, near_tube, study",1103239.0
Bexley,379.0,1,3,Detached,1855,0.6228200739002426,"cellar, concierge, garden, gym, loft, new_build",120000.0
Barking and Dagenham,1081.0,1,2,Flat,1889,1.7581446520747133,parking,1293769.0
Lewisham,1230.0,1,2,Flat,1959,0.9046774084922009,"garage, gym, near_tube",1688528.0
Tower Hamlets,593.0,4,1,Maisonette,1929,2.157322450118462,"cellar, gym, lift, loft, river_view, study",120000.0
Barnet,847.0,4,1,Flat,1977,0.46510413407216056,"garage, loft, near_tube, park_view, parking",991798.0
Barking and Dagenham,332.0,5,3,Semi-Detached,1890,2.6901080122997305,concierge,120000.0
Redbridge,472.0,5,2,Flat,1890,1.2264822172928498,"garden, gym, near_tube, study",120000.0
Greenwich,1164.0,5,2,Semi-Detached,1920,1.4814328893291453,"balcony, loft, near_tube",1794591.0
Lewisham,710.0,5,2,Flat,1987,0.40153715133937173,"balcony, ensuite, loft, river_view, study",512345.0
Newham,517.0,1,1,Semi-Detached,1937,0.39089442122696316,"ensuite, new_build, parking, study",120000.0
Greenwich,919.0,4,3,Terraced,1982,1.3171815926067405,"gym, new_build",942400.0
Redbridge,693.0,4,3,Maisonette,1866,1.5135701282506417,"cellar, garden, new_build",208511.0
Tower Hamlets,709.0,1,3,Flat,1921,0.8457185949172553,"cellar, concierge, garden, loft, parking, study",359471.0
Sutton,1072.0,1,2,Flat,1926,1.6257671074080584,"cellar, parking, study",1234530.0
Tower Hamlets,501.0,5,3,Flat,1861,0.3990062090648913,"gym, park_view",120000.0
Bexley,578.0,5,2,Flat,1904,0.2889668243109654,lift,120000.0
Harrow,896.0,2,2,Studio,1898,1.1269509434332945,parking,660603.0
Islington,1141.0,1,1,Flat,1929,0.38539748822531333,loft,1576056.0
Ealing,1221.0,2,3,Flat,1878,0.2124674574560066,concierge,1915806.0
Bromley,650.0,1,1,Detached,1896,0.49812263224852993,"cellar, ensuite, loft, new_build",120000.0
Kingston upon Thames,1131.0,4,3,Flat,2016,1.4768458813853165,"cellar, gym, lift, study",1868887.0
Barking and Dagenham,615.0,2,2,Flat,1874,1.2080407166597509,"ensuite, new_build, park_view, parking, study",120000.0
Harrow,1398.0,1,1,Semi-Detached,1992,2.503778220166313,"cellar, lift, near_tube, parking",2333746.0
Barnet,510.0,5,2,Flat,1944,1.2675777483156232,"park_view, parking",120000.0
Barnet,1249.0,5,1,Detached,1863,0.4134876288088336,"balcony, garage, garden, park_view",2003975.0
Barnet,653.0,5,2,Terraced,1919,1.5464180179934048,"ensuite, park_view, river_view",120000.0
Merton,1454.0,5,1,Flat,1939,0.6086778609285081,"balcony, cellar",2631398.0
Wandsworth,1027.0,1,3,Terraced,1898,0.8331636107369879,"ensuite, garage, near_tube, park_view",1325719.0
Kensington and Chelsea,545.0,4,2,Detached,1896,0.6182045168410758,"ensuite, loft, parking, study",395599.0
Westminster,693.0,4,2,Flat,1973,0.3626634694015554,"concierge, ensuite, river_view",737950.0
Camden,1084.0,4,3,Semi-Detached,1855,5.344614043319628,lift,1556124.0
Hammersmith and Fulham,1166.0,2,2,Flat,2011,0.5328708619409797,garage,2034148.0
Hackney,829.0,2,2,Terraced,1906,0.18335831455619792,"balcony, concierge, ensuite, lift, study",849534.0
Kingston upon Thames,863.0,5,1,Semi-Detached,1916,1.6765667895576655,gym,883434.0
Hillingdon,1078.0,1,2,Flat,1872,0.1334136725377504,"cellar, concierge",1142028.0
Havering,890.0,4,3,Terraced,2003,0.9102255773642296,"cellar, garden, near_tube, new_build, river_view",709246.0
Brent,462.0,4,3,Flat,1888,1.8551497575367693,"concierge, new_build, parking",120000.0
Hillingdon,606.0,4,2,Semi-Detached,1989,0.31962920508196024,"cellar, garden, lift, park_view, parking",120000.0
Kensington and Chelsea,921.0,3,1,Terraced,1906,1.0303957059860551,"ensuite, lift, loft",1351317.0
Richmond upon Thames,1215.0,4,3,Flat,1855,0.8065707384481106,"cellar, concierge, gym, lift, park_view, parking",2074333.0
Bromley,1335.0,5,1,Flat,1921,0.5251200790950977,"gym, lift, river_view",2356293.0
Sutton,1084.0,4,1,Maisonette,1941,2.5086336617664293,near_tube,1454956.0
Kensington and Chelsea,936.0,1,3,Flat,1931,0.8009856993211212,"cellar, garage, lift, near_tube, river_view",1387632.0
Bromley,1075.0,2,3,Flat,2021,1.652913269773314,"loft, near_tube, new_build, study",1450669.0
Havering,650.0,2,3,Flat,1940,1.965036997243233,"balcony, cellar, near_tube, parking, river_view, study",120000.0
Bromley,804.0,2,2,Terraced,1985,0.879764087234362,loft,441152.0
Bexley,603.0,2,3,Flat,1914,0.4214473305506314,"cellar, loft, parking, study",120000.0
Kensington and Chelsea,475.0,2,3,Detached,1875,1.9974692946010586,"balcony, garage, gym, near_tube, river_view",120000.0
City of London,950.0,4,1,Semi-Detached,1936,0.9116957695133935,"cellar, garden, parking",1644716.0
Lewisham,906.0,1,3,Flat,1947,0.9893136969021812,"cellar, concierge",859844.0
Tower Hamlets,1056.0,4,3,Terraced,1922,0.7613215083524588,"garage, river_view",1413020.0
Havering,1014.0,4,1,Flat,1983,1.9481332821260378,lift,1133672.0
Haringey,923.0,5,3,Flat,2017,0.3757031840151139,"balcony, lift, near_tube, river_view",1213240.0
Haringey,1017.0,1,2,Terraced,1864,0.9989742181596692,"balcony, gym, lift, loft, study",1085667.0
Westminster,837.0,2,3,Flat,1861,0.43060609233591063,"cellar, lift, new_build",917974.0
Waltham Forest,974.0,5,2,Maisonette,1897,0.7590573616118784,park_view,1139792.0
Hackney,632.0,3,1,Terraced,1951,2.131585231888269,"cellar, gym, lift, parking, river_view",287664.0
Westminster,961.0,3,1,Flat,1857,2.1135383103415193,"balcony, garage, loft, new_build, park_view, parking",1398541.0
Hammersmith and Fulham,1051.0,1,2,Studio,1883,0.853732290249547,"lift, loft, park_view, study",1376879.0
Westminster,649.0,4,3,Terraced,1921,1.2668581779603205,loft,501651.0
Waltham Forest,866.0,2,3,Flat,1915,1.249180727537128,"loft, near_tube, park_view",683900.0
City of London,663.0,5,1,Terraced,1997,0.43222521747487747,"garden, gym, lift, park_view",812906.0
Richmond upon Thames,692.0,2,3,Studio,1945,1.504115355610147,"balcony, ensuite, garage, new_build, park_view, study",439259.0
Bromley,513.0,1,2,Flat,2001,0.473901087269083,"lift, loft, river_view",120000.0
Hillingdon,1230.0,3,2,Flat,1982,0.7235841724703017,ensuite,1893045.0
Brent,1170.0,3,1,Terraced,1922,0.1918997109204238,"balcony, ensuite, garage, new_build, parking",1732201.0
Southwark,1011.0,3,2,Flat,2020,1.6883700912176487,"ensuite, garage, lift, near_tube, new_build",1347462.0
Kingston upon Thames,1442.0,5,2,Flat,1996,1.9547030329879331,"garden, near_tube",2831835.0
Waltham Forest,793.0,2,3,Terraced,1935,1.3009291826532312,"concierge, new_build, park_view",477955.0
Southwark,1760.0,2,2,Maisonette,1997,1.0348249018849955,balcony,3663051.0
Kingston upon Thames,782.0,4,2,Semi-Detached,1894,0.6929638427844619,new_build,450452.0
Southwark,927.0,1,2,Flat,1886,1.7185752483261232,"garden, loft",901606.0
Hillingdon,731.0,5,2,Flat,1987,2.9144488354175886,river_view,344044.0
Merton,962.0,2,2,Flat,1987,0.532812359342258,"near_tube, new_build",1140705.0
Bexley,1101.0,2,1,Flat,1888,0.8698871093861613,"cellar, concierge, lift, river_view",1332518.0
Hounslow,816.0,1,3,Semi-Detached,1981,0.4090736748436961,"garden, parking, river_view",584420.0
Southwark,1383.0,2,1,Flat,1938,1.0391861352885312,park_view,2277729.0
Hackney,922.0,3,3,Detached,1947,0.7525930127144603,"cellar, concierge, lift, near_tube",1100055.0
Hammersmith and Fulham,931.0,4,3,Terraced,1997,0.9195008445835442,"balcony, cellar, concierge, ensuite, new_build, parking",1656947.0
Bexley,577.0,5,3,Semi-Detached,1877,1.734206757345525,"garage, garden, lift, near_tube",120000.0
Richmond upon Thames,976.0,4,1,Maisonette,1920,2.0804576145266194,"garage, lift",1265570.0
Islington,810.0,2,1,Semi-Detached,1900,0.35325391801984646,"concierge, garden, gym, loft, parking",751202.0
Brent,668.0,5,1,Maisonette,1946,1.2397357811093954,"gym, loft, parking",120000.0
Hillingdon,617.0,1,2,Detached,1877,2.514418134234839,study,120000.0
Lambeth,1652.0,2,3,Terraced,1870,1.4396215015326181,"balcony, garden, river_view, study",3187693.0
Hillingdon,771.0,2,3,Flat,1971,0.44055902541077036,"balcony, cellar, ensuite, lift, near_tube",374514.0
Wandsworth,413.0,3,3,Flat,1859,2.0179064068342902,"garden, study",120000.0
Merton,641.0,2,3,Detached,1922,1.511018503512876,"balcony, ensuite, lift",143019.0
Enfield,835.0,5,1,Flat,2021,1.408542784806288,balcony,648392.0
Ealing,1014.0,2,3,Maisonette,2023,0.8504752653388377,"new_build, park_view, parking",1304049.0
Kensington and Chelsea,1016.0,2,1,Flat,1881,1.3482571743109824,"balcony, river_view, study",1483414.0
Brent,1053.0,4,3,Semi-Detached,2011,5.1410798133395845,"garage, study",1298644.0
Redbridge,657.0,3,3,Flat,1908,0.15810035933989927,"ensuite, lift, new_build, study",124559.0
Camden,952.0,3,3,Studio,1884,0.7173936369764405,"balcony, garden, new_build, parking, study",1241868.0
Kingston upon Thames,587.0,5,2,Flat,1937,0.7748201779094762,"concierge, lift, park_view",120000.0
Bromley,664.0,3,2,Flat,1934,0.06236922589900461,"cellar, garden, gym, loft, river_view",128959.0
Hillingdon,575.0,1,2,Detached,1915,3.653884819464499,"ensuite, new_build, study",120000.0
Harrow,493.0,4,2,Flat,1924,0.4088468174706051,"garage, gym, park_view",120000.0
Bexley,1169.0,4,2,Flat,1866,0.3859895119034699,"cellar, garden, loft, park_view",1614890.0
Wandsworth,1057.0,2,2,Maisonette,1895,0.24406523533210792,"garage, park_view",1422665.0
Haringey,1143.0,5,1,Detached,1884,0.7109320187276851,"balcony, concierge, garage, garden, lift, park_view",1668589.0
Islington,862.0,2,2,Flat,2012,1.40423630181949,"gym, lift, near_tube, new_build",828787.0
Enfield,1083.0,1,3,Terraced,1935,0.9801676126915375,"balcony, garage, new_build",1354342.0
Hammersmith and Fulham,322.0,1,3,Flat,1945,0.46450897147159415,"lift, park_view",120000.0
Harrow,1109.0,4,1,Flat,1926,1.3501103492780941,"balcony, gym, near_tube, park_view, parking",1389165.0
Haringey,903.0,2,1,Terraced,2003,0.9893133477886358,near_tube,961135.0
Hackney,1038.0,3,2,Flat,1988,2.319044924956652,garage,1299034.0
Hounslow,964.0,4,3,Terraced,1969,0.5891647841629366,"concierge, ensuite, park_view, river_view",1197816.0
Barnet,554.0,5,1,Flat,1904,0.5439225745811607,"lift, park_view, study",120000.0
Kingston upon Thames,401.0,3,1,Detached,1903,1.792535200524173,"cellar, parking",120000.0
Greenwich,636.0,5,1,Terraced,2013,0.39508786292433007,"concierge, loft, river_view",343936.0
Kensington and Chelsea,1019.0,2,1,Flat,2011,0.23616767388527887,"concierge, ensuite, garden, lift, new_build",1703043.0
Bromley,1057.0,5,1,Maisonette,1899,0.965609822183392,"garden, gym, near_tube",1280744.0
Lambeth,440.0,2,3,Detached,1908,1.436618984411738,"concierge, new_build, park_view, study",120000.0
Wandsworth,556.0,1,3,Flat,1907,0.2180115403414056,new_build,120000.0
Harrow,633.0,4,2,Studio,1986,1.929800797528915,"balcony, cellar, parking, river_view, study",176616.0
Islington,743.0,4,1,Flat,2015,0.19487422641854252,near_tube,600124.0
Havering,441.0,5,3,Flat,2004,0.6161882068156379,"garage, gym",120000.0
Hammersmith and Fulham,423.0,5,1,Flat,1996,0.9858037314731679,"gym, loft",120000.0
Kensington and Chelsea,603.0,1,1,Flat,1910,2.4711856883581222,"balcony, new_build, river_view",254910.0
Enfield,876.0,4,1,Semi-Detached,1905,2.573123226488208,"ensuite, loft",859891.0
Merton,496.0,4,2,Terraced,2004,1.1311176323404109,"cellar, concierge, ensuite, lift, river_view",120000.0
Kensington and Chelsea,815.0,4,3,Maisonette,1918,0.7042994181257898,"gym, river_view, study",1187574.0
Tower Hamlets,1168.0,1,2,Flat,1887,0.7400200077105994,gym,1630336.0
Sutton,459.0,1,2,Flat,1996,3.4195832881297514,"garage, garden, river_view",120000.0
Barking and Dagenham,788.0,4,2,Flat,1933,2.193143453210564,study,497310.0
Enfield,1157.0,5,3,Flat,1864,1.3082906351982266,"parking, river_view",1658637.0
Bexley,725.0,1,3,Maisonette,2005,1.1577383112688513,"lift, loft, near_tube, parking",333460.0
Westminster,678.0,1,2,Semi-Detached,1901,1.0798587735631944,"balcony, concierge, park_view, study",508861.0
Haringey,1199.0,3,2,Semi-Detached,1903,0.14931059918833958,"balcony, concierge, garage, parking",1672479.0
Enfield,758.0,2,2,Semi-Detached,1942,0.05,"garage, parking, study",463547.0
Tower Hamlets,1181.0,5,3,Flat,1897,0.8288064172522744,"cellar, garage, lift, near_tube, park_view, study",1920079.0
Camden,979.0,5,2,Flat,1994,0.351390424322994,study,1448928.0
Islington,747.0,3,3,Flat,1970,1.168218709113254,"concierge, garage, river_view",962239.0
Waltham Forest,994.0,5,1,Detached,1948,1.1040988737184618,"balcony, ensuite",1087073.0
Barnet,946.0,2,3,Flat,1884,0.2303926450680357,loft,951998.0
Brent,1156.0,5,3,Flat,1935,1.1857098857398611,"garage, gym, near_tube, river_view",1757930.0
Brent,685.0,3,3,Semi-Detached,1897,1.2361259708720758,parking,184784.0
Kingston upon Thames,862.0,3,3,Flat,2017,1.2109044975780772,"balcony, cellar, new_build, study",846611.0
Hackney,832.0,1,2,Terraced,1987,0.594750082456586,"concierge, lift, loft, near_tube, river_view, study",813667.0
Hackney,1061.0,1,1,Flat,1870,1.3881828850058902,"ensuite, lift, near_tube, river_view, study",1178131.0
Tower Hamlets,542.0,1,2,Terraced,1941,1.4539573559117165,"balcony, cellar, concierge, lift, new_build",120000.0
